"AccSpeciesName","AccSpeciesID","Genus","SpeciesEpithet","Family","PlantGrowthForm","LeafType","LeafPhenology","PhotosyntheticPathway","param_count_before","param_count_after","PFT","spec.name","scientificName","taxonomicStatus","New.accepted","scientificNameAuthorship","genus","family","taxonID"
"Agarista salicifolia",1651,"Agarista","salicifolia","Ericaceae","shrub/tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Agarista salicifolia","Agarista salicifolia","Accepted",FALSE,"(Lam.) G.Don","Agarista","Ericaceae","wfo-0000523244"
"Aidia micrantha",2121,"Aidia","micrantha","Rubiaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Aidia micrantha","Aidia micrantha","Accepted",FALSE,"(K.Schum.) Bullock ex F.White","Aidia","Rubiaceae","wfo-0000931512"
"Albizia adianthifolia",2209,"Albizia","adianthifolia","Fabaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Albizia adianthifolia","Albizia adianthifolia","Accepted",FALSE,"(Schumach.) W.Wight","Albizia","Fabaceae","wfo-0000179990"
"Albizia gummifera",2233,"Albizia","gummifera","Fabaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Albizia gummifera","Albizia gummifera","Accepted",FALSE,"(J.F.Gmel.) C.A.Sm.","Albizia","Fabaceae","wfo-0000183535"
"Albizia tomentosa",2273,"Albizia","tomentosa","Fabaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Albizia tomentosa","Pseudalbizzia tomentosa","Accepted",TRUE,"(Micheli) E.J.M.Koenen & Duno","Pseudalbizzia","Fabaceae","wfo-1000040149"
"Alchornea cordifolia",2394,"Alchornea","cordifolia","Euphorbiaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Alchornea cordifolia","Alchornea cordifolia","Accepted",FALSE,"(Schumach.) Müll.Arg.","Alchornea","Euphorbiaceae","wfo-0000938571"
"Alchornea laxiflora",2403,"Alchornea","laxiflora","Euphorbiaceae","shrub/tree","broadleaved","evergreen",NA,3,3,"BET-Tr","Alchornea laxiflora","Alchornea laxiflora","Accepted",FALSE,"Pax & K.Hoffm.","Alchornea","Euphorbiaceae","wfo-0000939253"
"Allanblackia floribunda",2484,"Allanblackia","floribunda","Clusiaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Allanblackia floribunda","Allanblackia floribunda","Accepted",FALSE,"Oliv.","Allanblackia","Clusiaceae","wfo-0000525979"
"Allanblackia stuhlmannii",2487,"Allanblackia","stuhlmannii","Clusiaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Allanblackia stuhlmannii","Allanblackia stuhlmannii","Accepted",FALSE,"(Engl.) Engl.","Allanblackia","Clusiaceae","wfo-0000525993"
"Allophylus africanus",2642,"Allophylus","africanus","Sapindaceae","shrub/tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Allophylus africanus","Allophylus africanus","Accepted",FALSE,"P.Beauv.","Allophylus","Sapindaceae","wfo-0000526543"
"Allophylus pervillei",2667,"Allophylus","pervillei","Sapindaceae","tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Allophylus pervillei","Allophylus pervillei","Accepted",FALSE,"Blume","Allophylus","Sapindaceae","wfo-0000526819"
"Aloe littoralis",2783,"Aloe","littoralis","Aloaceae","shrub/tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Aloe littoralis","Aloe littoralis","Accepted",FALSE,"Baker","Aloe","Asphodelaceae","wfo-0000758416"
"Aloe thraskii",2821,"Aloe","thraskii","Aloaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Aloe thraskii","Aloe thraskii","Accepted",FALSE,"Baker","Aloe","Asphodelaceae","wfo-0000758919"
"Alstonia boonei",2945,"Alstonia","boonei","Apocynaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Alstonia boonei","Alstonia boonei","Accepted",FALSE,"De Wild.","Alstonia","Apocynaceae","wfo-0000951936"
"Amphitecna tuxtlensis",3317,"Amphitecna","tuxtlensis","Bignoniaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Amphitecna tuxtlensis","Amphitecna tuxtlensis","Accepted",FALSE,"A.H.Gentry","Amphitecna","Bignoniaceae","wfo-0000780957"
"Andira inermis",3498,"Andira","inermis","Fabaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Andira inermis","Andira inermis","Accepted",FALSE,"(W.Wright) Kunth ex DC.","Andira","Fabaceae","wfo-0000171592"
"Angylocalyx pynaertii",3784,"Angylocalyx","pynaertii","Fabaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Angylocalyx pynaertii","Angylocalyx pynaertii","Accepted",FALSE,"De Wild.","Angylocalyx","Fabaceae","wfo-0000211905"
"Anisophyllea boehmii",3832,"Anisophyllea","boehmii","Anisophylleaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Anisophyllea boehmii","Anisophyllea boehmii","Accepted",FALSE,"Engl.","Anisophyllea","Anisophylleaceae","wfo-0000537282"
"Annona senegalensis",3884,"Annona","senegalensis","Annonaceae","shrub/tree","broadleaved","evergreen",NA,3,3,"BET-Tr","Annona senegalensis","Annona senegalensis","Accepted",FALSE,"Pers.","Annona","Annonaceae","wfo-0000537928"
"Anonidium mannii",3914,"Anonidium","mannii","Annonaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Anonidium mannii","Anonidium mannii","Accepted",FALSE,"(Oliv.) Engl. & Diels","Anonidium","Annonaceae","wfo-0000538246"
"Anthocleista grandiflora",3988,"Anthocleista","grandiflora","Loganiaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Anthocleista grandiflora","Anthocleista grandiflora","Accepted",FALSE,"Gilg","Anthocleista","Gentianaceae","wfo-0000538477"
"Anthonotha fragrans",4006,"Anthonotha","fragrans","Fabaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Anthonotha fragrans","Anthonotha fragrans","Accepted",FALSE,"(Baker f.) Exell & Hillc.","Anthonotha","Fabaceae","wfo-0000212127"
"Anthonotha macrophylla",4008,"Anthonotha","macrophylla","Fabaceae","shrub/tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Anthonotha macrophylla","Anthonotha macrophylla","Accepted",FALSE,"P.Beauv.","Anthonotha","Fabaceae","wfo-0000212354"
"Anthyllis henoniana",4065,"Anthyllis","henoniana","Fabaceae","tree","broadleaved","evergreen","C3",2,4,"BET-Tr","Anthyllis henoniana","Anthyllis subsimplex","Accepted",TRUE,"Pomel","Anthyllis","Fabaceae","wfo-0000186870"
"Antiaris toxicaria",4075,"Antiaris","toxicaria","Moraceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Antiaris toxicaria","Antiaris toxicaria","Accepted",FALSE,"(J.F.Gmel.) Lesch.","Antiaris","Moraceae","wfo-0000538857"
"Antidesma membranaceum",4091,"Antidesma","membranaceum","Euphorbiaceae","shrub/tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Antidesma membranaceum","Antidesma membranaceum","Accepted",FALSE,"Müll.Arg.","Antidesma","Phyllanthaceae","wfo-0000237317"
"Antidesma vogelianum",4106,"Antidesma","vogelianum","Euphorbiaceae","shrub/tree","broadleaved","evergreen",NA,3,3,"BET-Tr","Antidesma vogelianum","Antidesma vogelianum","Accepted",FALSE,"Müll.Arg.","Antidesma","Phyllanthaceae","wfo-0000239657"
"Antrocaryon nannanii",4140,"Antrocaryon","nannanii","Anacardiaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Antrocaryon nannanii","Antrocaryon nannanii","Accepted",FALSE,"De Wild.","Antrocaryon","Anacardiaceae","wfo-0000539715"
"Aphloia theiformis",4203,"Aphloia","theiformis","Flacourtiaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Aphloia theiformis","Aphloia theiformis","Accepted",FALSE,"(Vahl) Benn.","Aphloia","Aphloiaceae","wfo-0000540357"
"Apodocephala pauciflora",4246,"Apodocephala","pauciflora","Asteraceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Apodocephala pauciflora","Apodocephala pauciflora","Accepted",FALSE,"Baker","Apodocephala","Asteraceae","wfo-0000079476"
"Apodytes dimidiata",4249,"Apodytes","dimidiata","Icacinaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Apodytes dimidiata","Apodytes dimidiata","Accepted",FALSE,"E.Mey. ex Arn.","Apodytes","Metteniusaceae","wfo-0000540853"
"Aspidosperma megalocarpon",5602,"Aspidosperma","megalocarpon","Apocynaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Aspidosperma megalocarpon","Aspidosperma megalocarpon","Accepted",FALSE,"Müll.Arg.","Aspidosperma","Apocynaceae","wfo-0000291112"
"Asteranthe asterias",5781,"Asteranthe","asterias","Annonaceae","tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Asteranthe asterias","Asteranthe asterias","Accepted",FALSE,"(S.Moore) Engl. & Diels","Asteranthe","Annonaceae","wfo-0000552595"
"Aulacocalyx jasminiflora",6221,"Aulacocalyx","jasminiflora","Rubiaceae","tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Aulacocalyx jasminiflora","Aulacocalyx jasminiflora","Accepted",FALSE,"Hook.f.","Aulacocalyx","Rubiaceae","wfo-0000297798"
"Baikiaea insignis",6618,"Baikiaea","insignis","Fabaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Baikiaea insignis","Baikiaea insignis","Accepted",FALSE,"Benth.","Baikiaea","Fabaceae","wfo-0001057033"
"Baikiaea robynsii",6620,"Baikiaea","robynsii","Fabaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Baikiaea robynsii","Baikiaea robynsii","Accepted",FALSE,"Ghesq. ex Laing","Baikiaea","Fabaceae","wfo-0001057436"
"Balanites aegyptiaca",6637,"Balanites","aegyptiaca","Balanitaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Balanites aegyptiaca","Balanites aegyptiaca","Accepted",FALSE,"(L.) Delile","Balanites","Zygophyllaceae","wfo-0000313273"
"Balanites wilsoniana",6646,"Balanites","wilsoniana","Balanitaceae","tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Balanites wilsoniana","Balanites wilsoniana","Accepted",FALSE,"Dawe & Sprague","Balanites","Zygophyllaceae","wfo-0000313785"
"Baphia massaiensis",6883,"Baphia","massaiensis","Fabaceae","shrub/tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Baphia massaiensis","Baphia massaiensis","Accepted",FALSE,"Taub.","Baphia","Fabaceae","wfo-0000211998"
"Baphia wollastonii",6887,"Baphia","wollastonii","Fabaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Baphia wollastonii","Baphia wollastonii","Accepted",FALSE,"Baker f.","Baphia","Fabaceae","wfo-0000212045"
"Barteria fistulosa",6928,"Barteria","fistulosa","Passifloraceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Barteria fistulosa","Barteria fistulosa","Accepted",FALSE,"Mast.","Barteria","Passifloraceae","wfo-0000560737"
"Bauhinia petersiana",7011,"Bauhinia","petersiana","Fabaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Bauhinia petersiana","Bauhinia petersiana","Accepted",FALSE,"Bolle","Bauhinia","Fabaceae","wfo-0000213067"
"Beilschmiedia velutina",7157,"Beilschmiedia","velutina","Lauraceae","tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Beilschmiedia velutina","Beilschmiedia velutina","Accepted",FALSE,"(Kosterm.) Kosterm.","Beilschmiedia","Lauraceae","wfo-0000562144"
"Bellucia grossularioides",7175,"Bellucia","grossularioides","Melastomataceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Bellucia grossularioides","Bellucia grossularioides","Accepted",FALSE,"(L.) Triana","Bellucia","Melastomataceae","wfo-0001081015"
"Berchemia zeyheri",7235,"Berchemia","zeyheri","Rhamnaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Berchemia zeyheri","Berchemia zeyheri","Accepted",FALSE,"(Sond.) Grubov","Berchemia","Rhamnaceae","wfo-0000564199"
"Berlinia auriculata",7265,"Berlinia","auriculata","Fabaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Berlinia auriculata","Berlinia auriculata","Accepted",FALSE,"Benth.","Berlinia","Fabaceae","wfo-0000213341"
"Bersama abyssinica",7281,"Bersama","abyssinica","Melianthaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Bersama abyssinica","Bersama abyssinica","Accepted",FALSE,"Fresen.","Bersama","Francoaceae","wfo-0000564438"
"Blighia sapida",7568,"Blighia","sapida","Sapindaceae","tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Blighia sapida","Blighia sapida","Accepted",FALSE,"K.D.Koenig","Blighia","Sapindaceae","wfo-0000566873"
"Blighia welwitschii",7571,"Blighia","welwitschii","Sapindaceae","tree","broadleaved","evergreen",NA,1,3,"BET-Tr","Blighia welwitschii","Blighia welwitschii","Accepted",FALSE,"(Hiern) Radlk.","Blighia","Sapindaceae","wfo-0000566875"
"Boscia angustifolia",7780,"Boscia","angustifolia","Capparaceae","shrub/tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Boscia angustifolia","Maerua gilgii","Accepted",TRUE,"Schinz","Maerua","Capparaceae","wfo-0000375739"
"Boscia coriacea",7782,"Boscia","coriacea","Capparaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Boscia coriacea","Boscia coriacea","Accepted",FALSE,"Graells","Boscia","Capparaceae","wfo-0000569505"
"Boscia mossambicensis",7788,"Boscia","mossambicensis","Capparaceae","shrub/tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Boscia mossambicensis","Boscia mossambicensis","Accepted",FALSE,"Klotzsch","Boscia","Capparaceae","wfo-0000569542"
"Boscia salicifolia",7790,"Boscia","salicifolia","Capparaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Boscia salicifolia","Boscia salicifolia","Accepted",FALSE,"Oliv.","Boscia","Capparaceae","wfo-0000569565"
"Boscia senegalensis",7791,"Boscia","senegalensis","Capparaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Boscia senegalensis","Boscia senegalensis","Accepted",FALSE,"Lam.","Boscia","Capparaceae","wfo-0000569567"
"Bourreria petiolaris",7893,"Bourreria","petiolaris","Boraginaceae","shrub/tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Bourreria petiolaris","Bourreria petiolaris","Accepted",FALSE,"(Lam.) Thulin","Bourreria","Boraginaceae","wfo-0000570000"
"Brabejum stellatifolium",7946,"Brabejum","stellatifolium","Proteaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Brabejum stellatifolium","Brabejum stellatifolium","Accepted",FALSE,"L.","Brabejum","Proteaceae","wfo-0000570189"
"Brachylaena discolor",8126,"Brachylaena","discolor","Asteraceae","shrub/tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Brachylaena discolor","Brachylaena discolor","Accepted",FALSE,"DC.","Brachylaena","Asteraceae","wfo-0000016339"
"Brachylaena huillensis",8127,"Brachylaena","huillensis","Asteraceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Brachylaena huillensis","Brachylaena huillensis","Accepted",FALSE,"O.Hoffm.","Brachylaena","Asteraceae","wfo-0000024237"
"Brachylaena neriifolia",8130,"Brachylaena","neriifolia","Asteraceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Brachylaena neriifolia","Brachylaena neriifolia","Accepted",FALSE,"R.Br.","Brachylaena","Asteraceae","wfo-0000039126"
"Brachystegia floribunda",66113,"Brachystegia","floribunda","Fabaceae","tree","broadleaved","evergreen",NA,1,3,"BET-Tr","Brachystegia floribunda","Brachystegia floribunda","Accepted",FALSE,"Benth.","Brachystegia","Fabaceae","wfo-0000213744"
"Bridelia cathartica",8322,"Bridelia","cathartica","Euphorbiaceae","shrub/tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Bridelia cathartica","Bridelia cathartica","Accepted",FALSE,"Bertol.","Bridelia","Phyllanthaceae","wfo-0000416794"
"Bridelia tulasneana",8343,"Bridelia","tulasneana","Euphorbiaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Bridelia tulasneana","Bridelia tulasneana","Accepted",FALSE,"Baill.","Bridelia","Phyllanthaceae","wfo-0000428863"
"Brosimum alicastrum",8570,"Brosimum","alicastrum","Moraceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Brosimum alicastrum","Brosimum alicastrum","Accepted",FALSE,"Sw.","Brosimum","Moraceae","wfo-0000572378"
"Buddleja saligna",8771,"Buddleja","saligna","Buddlejaceae","tree","broadleaved","evergreen",NA,1,3,"BET-Tr","Buddleja saligna","Buddleja saligna","Accepted",FALSE,"Willd.","Buddleja","Scrophulariaceae","wfo-0000574231"
"Burchellia bubalina",66170,"Burchellia","bubalina","Rubiaceae","shrub/tree","broadleaved","evergreen",NA,1,3,"BET-Tr","Burchellia bubalina","Burchellia bubalina","Accepted",FALSE,"(L.f.) Sims","Burchellia","Rubiaceae","wfo-0000682147"
"Caesalpinia decapetala",9032,"Caesalpinia","decapetala","Fabaceae","shrub/tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Caesalpinia decapetala","Biancaea decapetala","Accepted",TRUE,"(Roth) O.Deg.","Biancaea","Fabaceae","wfo-0001056568"
"Calodendrum capense",9649,"Calodendrum","capense","Rutaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Calodendrum capense","Calodendrum capense","Accepted",FALSE,"Thunb.","Calodendrum","Rutaceae","wfo-0000580859"
"Caloncoba welwitschii",9656,"Caloncoba","welwitschii","Flacourtiaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Caloncoba welwitschii","Caloncoba welwitschii","Accepted",FALSE,"(Oliv.) Gilg","Caloncoba","Achariaceae","wfo-0000923638"
"Calotropis procera",9757,"Calotropis","procera","Asclepiadaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Calotropis procera","Calotropis procera","Accepted",FALSE,"(Aiton) Dryand.","Calotropis","Apocynaceae","wfo-0000581500"
"Canarium madagascariense",10056,"Canarium","madagascariense","Burseraceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Canarium madagascariense","Canarium madagascariense","Accepted",FALSE,"Engl.","Canarium","Burseraceae","wfo-0000583603"
"Canarium schweinfurtii",10074,"Canarium","schweinfurtii","Burseraceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Canarium schweinfurtii","Canarium schweinfurtii","Unchecked",FALSE,"Engl.","Canarium","Burseraceae","wfo-0000583735"
"Canthium inerme",10127,"Canthium","inerme","Rubiaceae","shrub/tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Canthium inerme","Canthium inerme","Accepted",FALSE,"(L.f.) Kuntze","Canthium","Rubiaceae","wfo-0000797971"
"Canthium oligocarpum",10138,"Canthium","oligocarpum","Rubiaceae","shrub/tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Canthium oligocarpum","Canthium oligocarpum","Accepted",FALSE,"Hiern","Canthium","Rubiaceae","wfo-0000799046"
"Carapa procera",10276,"Carapa","procera","Meliaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Carapa procera","Carapa procera","Accepted",FALSE,"DC.","Carapa","Meliaceae","wfo-0001083560"
"Carica papaya",10716,"Carica","papaya","Caricaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Carica papaya","Carica papaya","Accepted",FALSE,"L.","Carica","Caricaceae","wfo-0000588009"
"Casearia battiscombei",10880,"Casearia","battiscombei","Flacourtiaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Casearia battiscombei","Casearia battiscombei","Accepted",FALSE,"R.E.Fr.","Casearia","Salicaceae","wfo-0000923850"
"Cassipourea euryoides",11041,"Cassipourea","euryoides","Rhizophoraceae","shrub/tree","broadleaved","evergreen",NA,3,3,"BET-Tr","Cassipourea euryoides","Cassipourea euryoides","Accepted",FALSE,"Alston","Cassipourea","Rhizophoraceae","wfo-0000589620"
"Cassipourea gummiflua",11046,"Cassipourea","gummiflua","Rhizophoraceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Cassipourea gummiflua","Cassipourea gummiflua","Accepted",FALSE,"Tul.","Cassipourea","Rhizophoraceae","wfo-0000589636"
"Cassipourea malosana",11047,"Cassipourea","malosana","Rhizophoraceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Cassipourea malosana","Cassipourea malosana","Accepted",FALSE,"(Baker) Alston","Cassipourea","Rhizophoraceae","wfo-0000589662"
"Cassipourea mollis",11048,"Cassipourea","mollis","Rhizophoraceae","shrub/tree","broadleaved","evergreen",NA,3,3,"BET-Tr","Cassipourea mollis","Cassipourea mollis","Accepted",FALSE,"(R.E.Fr.) Alston","Cassipourea","Rhizophoraceae","wfo-0000589668"
"Cassipourea ruwensorensis",11052,"Cassipourea","ruwensorensis","Rhizophoraceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Cassipourea ruwensorensis","Cassipourea ruwensorensis","Accepted",FALSE,"(Engl.) Alston","Cassipourea","Rhizophoraceae","wfo-0000589693"
"Catunaregam nilotica",11231,"Catunaregam","nilotica","Rubiaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Catunaregam nilotica","Catunaregam nilotica","Accepted",FALSE,"(Stapf) Tirveng.","Catunaregam","Rubiaceae","wfo-0000824451"
"Cavacoa quintasii",11254,"Cavacoa","quintasii","Euphorbiaceae","tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Cavacoa quintasii","Cavacoa quintasii","Accepted",FALSE,"(Pax & K.Hoffm.) J.Léonard","Cavacoa","Euphorbiaceae","wfo-0000824752"
"Cecropia obtusifolia",11346,"Cecropia","obtusifolia","Cecropiaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Cecropia obtusifolia","Cecropia obtusifolia","Accepted",FALSE,"Bertol.","Cecropia","Urticaceae","wfo-0000592286"
"Cephalosphaera usambarensis",11748,"Cephalosphaera","usambarensis","Myristicaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Cephalosphaera usambarensis","Brochoneura usambarensis","Accepted",TRUE,"Warb.","Brochoneura","Myristicaceae","wfo-0000572345"
"Chassalia umbraticola",12110,"Chassalia","umbraticola","Rubiaceae","shrub/tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Chassalia umbraticola","Chassalia umbraticola","Accepted",FALSE,"Vatke","Chassalia","Rubiaceae","wfo-0000840774"
"Chrysophyllum africanum",12645,"Chrysophyllum","africanum","Sapotaceae","tree","broadleaved","evergreen",NA,1,3,"BET-Tr","Chrysophyllum africanum","Chrysophyllum africanum","Accepted",FALSE,"A.DC.","Chrysophyllum","Sapotaceae","wfo-0000853878"
"Chrysophyllum albidum",12646,"Chrysophyllum","albidum","Sapotaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Chrysophyllum albidum","Chrysophyllum albidum","Accepted",FALSE,"G.Don","Chrysophyllum","Sapotaceae","wfo-0000853909"
"Chrysophyllum boivinianum",62554,"Chrysophyllum","boivinianum","Sapotaceae","tree","broadleaved","evergreen",NA,1,3,"BET-Tr","Chrysophyllum boivinianum","Gambeya boiviniana","Accepted",TRUE,"Pierre","Gambeya","Sapotaceae","wfo-0000970694"
"Chrysophyllum gorungosanum",12664,"Chrysophyllum","gorungosanum","Sapotaceae","tree","broadleaved","evergreen","C3",4,4,"BET-Tr","Chrysophyllum gorungosanum","Gambeya gorungosana","Accepted",TRUE,"(Engl.) Liben","Gambeya","Sapotaceae","wfo-0000970702"
"Chrysophyllum lacourtianum",12667,"Chrysophyllum","lacourtianum","Sapotaceae","tree","broadleaved","evergreen",NA,1,3,"BET-Tr","Chrysophyllum lacourtianum","Gambeya lacourtiana","Accepted",TRUE,"(De Wild.) Aubrév. & Pellegr.","Gambeya","Sapotaceae","wfo-0000970704"
"Chrysophyllum perpulchrum",12675,"Chrysophyllum","perpulchrum","Sapotaceae","tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Chrysophyllum perpulchrum","Chrysophyllum perpulchrum","Accepted",FALSE,"Mildbr. ex Hutch. & Dalziel","Chrysophyllum","Sapotaceae","wfo-0000857031"
"Chytranthus carneus",12895,"Chytranthus","carneus","Sapindaceae","tree","broadleaved","evergreen",NA,2,3,"BET-Tr","Chytranthus carneus","Chytranthus carneus","Accepted",FALSE,"Radlk.","Chytranthus","Sapindaceae","wfo-0000604285"
"Citropsis daweana",13190,"Citropsis","daweana","Rutaceae","shrub/tree","broadleaved","evergreen","C3",3,4,"BET-Tr","Citropsis daweana","Citropsis daweana","Accepted",FALSE,"Swingle & Kellerm.","Citropsis","Rutaceae","wfo-0000607735"
